/single
/    best: 1.16
/    worst: 43.62
/
/mean of 3
/    current: 2.59
/    best: 2.59
/
/mean of 3
/    current: 2.59
/    best: 2.59
392. 5.23   lol  @U' R U' F U' R2 F R2 U2 R' U
393. 5.68   lol  @U R F R' F U' R U' R' F R2
394. 6.69   lol  @R U2 R' U2 R' F' U2 F U' R' F'
395. 6.0   lol  @U' R2 U' R' U R F' U2 R' U2 R'
396. 7.72   lol  @U R' U2 R U F2 U2 R U' R' U
397. 3.68   lol  @U2 R' F U' F U' F' R2 F' R' U
398. 3.22   lol  @R' U F' R U' R U2 R U' R2 U2
399. 8.82   lol  @U2 R F U' R' F R2 F U2 R U
400. 4.84   lol  @U R' F R' U' R2 F U' F R U2
401. 4.58   lol  @U R' U2 R F' R U R' F' R2 U'
402. 5.26   lol  @R U2 R2 U' F' U2 R U2 R U2 R2
403. 6.77   lol  @R U' F' U' R' U' R' U R2 F U'
404. 5.69   lol  @R' F U' R U2 R2 F R' U' F R2
405. 5.17   lol  @F' R2 U2 R U2 R' U' F' R2 U2 R'
406. 7.68   lol  @U R U' R' U2 R' U R' F R2 U2
407. 3.78   lol  @U R U2 R' U R' U' F2 U F R
408. 7.56   lol  @R U2 F U' R2 U' R2 U2 R U R'
409. 3.32   lol  @U' R2 U' R2 U2 F R2 F' U' R2 F
410. 6.85   lol  @U R' F R U F' R2 U' R2 F U2
411. 2.77   lol  @R U2 F' R2 F' U F U' F R2 U2
412. 6.54   lol  @R' F R U' R U2 R' U R2 U' F
413. 5.75   lol  @R' U' R F U F' R U2 R' F U
414. 6.18   lol  @U2 R' U R F' U2 R2 F U' F U2
415. 4.59   lol  @R' U' F U' R2 F U' R U F R2
416. 6.5   lol  @U' R' F U F R U2 R U' R2 U2
417. 6.6   lol  @R F' U' R2 F' R U' R' U2 F R2
418. 2.61   lol  @R U' F2 U' R2 U' R' U2 R' F' U2
