No.;Time;Comment;Scramble;Date;P.1
3093;13.70;;R2 B2 U' B2 R2 U' B2 U' L2 U2 L2 F D' F2 U' R' B' F2 L U2;2021-01-31 18:07:50;13.70
3094;14.38;;R F' L B2 U' L' U2 B D R' L2 U F2 U R2 D2 R2 L2 D' F2 U2;2021-01-31 18:08:27;14.38
3095;14.71;;F D2 F R2 U2 F' U2 F' D2 L2 R U2 B' D' U L' F' R2 F R';2021-01-31 18:08:56;14.71
3096;11.60;;R2 F2 R2 U2 L2 D2 U F2 D L2 B2 R2 B' U' L' B U' F2 R2 B2 F2;2021-01-31 18:09:30;11.60
3097;11.78;;D2 F R U' F2 D L' B L U B2 L2 U' B2 L2 U F2 U R2 U';2021-01-31 18:09:58;11.78
3098;14.68;;R B2 U2 L2 F2 R2 U2 F U2 F2 D2 R2 U' L' U' R' U' B' L' D;2021-01-31 18:10:43;14.68
3099;18.90;;U2 F U2 B2 D2 F' U2 L2 U2 R2 D' L' D2 F2 R2 F R2 U2 F;2021-01-31 18:11:09;18.90
3100;12.59;;L2 D2 L2 F' D2 B L2 F' U2 R2 D2 R B' R' D' B2 U B2 F2;2021-01-31 18:11:40;12.59
3101;12.96;;F2 B R' F' L2 B R2 D' R F R2 F U2 L2 F' D2 B D2 B R2 F';2021-01-31 18:12:06;12.96
3102;13.91;;D B2 R' D2 B2 F2 R U2 L' U2 F2 L2 D' B' L2 D F2 D2 R' F2;2021-01-31 18:12:32;13.91
3103;12.76;;U2 L' R2 U2 L2 R2 D B2 D' U F2 U2 B U2 L' D2 U L2 R2 B';2021-01-31 18:13:05;12.76
3104;12.45;;D2 U2 B' D2 B' L2 B R2 D2 U2 R' D F' U R D2 L U2 B D2;2021-01-31 18:13:36;12.45
3105;16.51;;D2 L2 U' F2 D R2 B2 L2 R2 U2 B2 L' F' R2 D F2 U2 R F' U';2021-01-31 18:13:58;16.51
3106;10.42;;R' D L2 D' R2 D' B2 U' B2 F2 R2 U L2 F L' F2 U2 L' U' R' D';2021-01-31 18:14:26;10.42
3107;13.42;;L D2 U2 B2 U2 R D2 U2 R' F2 L' R' B' R' D R' D' F2 U R;2021-01-31 18:14:46;13.42
3108;12.34;;D2 B' F' D2 U2 F R2 B2 U2 R2 U2 F L B2 F L' U' F L R;2021-01-31 18:15:11;12.34
3109;12.01;;U2 F L B' D' F L U B R2 B2 D2 R2 B2 U2 L2 F' D2 B' R2 D;2021-01-31 18:15:35;12.01
3110;11.62;;F2 U L2 F2 D2 R2 U' L2 U2 F2 L2 D B' R' F2 U2 L B2 U' F' L';2021-01-31 18:15:59;11.62
